epoch,loss,lr,val_loss
0,6.137689113616943,0.001,4.3907060623168945
1,3.8960046768188477,0.001,3.4031331539154053
2,3.669708251953125,0.001,3.302868127822876
3,3.6507160663604736,0.001,3.278571367263794
4,3.6570844650268555,0.001,3.2297706604003906
5,3.5691640377044678,0.001,3.065438747406006
6,3.2795214653015137,0.001,2.8002431392669678
7,3.050121307373047,0.001,2.6136326789855957
8,2.8971731662750244,0.001,2.474208116531372
9,2.773707628250122,0.001,2.2529497146606445
10,2.5891168117523193,0.001,2.3081791400909424
11,2.500840663909912,0.001,2.0549936294555664
12,2.3841779232025146,0.001,2.0617430210113525
13,2.2985472679138184,0.001,1.9338111877441406
14,2.2613189220428467,0.001,1.8235785961151123
15,2.232097625732422,0.001,2.1708898544311523
16,2.212181329727173,0.001,1.8389865159988403
17,2.2689876556396484,0.001,1.8221080303192139
18,2.1397643089294434,0.001,1.6847504377365112
19,2.1153321266174316,0.001,1.68843412399292
20,2.0100483894348145,0.001,1.705346941947937
21,1.9627833366394043,0.001,1.6839884519577026
22,1.9981762170791626,0.001,1.6225720643997192
23,1.8904045820236206,0.001,1.6337151527404785
24,1.9112842082977295,0.001,1.625437617301941
25,1.8784737586975098,0.001,1.6935442686080933
26,1.832877278327942,0.001,1.5243477821350098
27,1.8131321668624878,0.001,1.5479159355163574
28,1.8303717374801636,0.001,1.4793041944503784
29,1.8077067136764526,0.001,1.6109999418258667
30,1.7975932359695435,0.001,1.5479741096496582
31,1.7426321506500244,0.001,1.5321677923202515
32,1.7099062204360962,0.001,1.440893292427063
33,1.6892961263656616,0.001,1.4525238275527954
34,1.7749882936477661,0.001,1.3477787971496582
35,1.6204431056976318,0.001,1.3710230588912964
36,1.6795376539230347,0.001,1.3207612037658691
37,1.5760011672973633,0.001,1.3531723022460938
38,1.76381254196167,0.001,1.4503631591796875
39,1.622831106185913,0.001,1.299591064453125
40,1.6119486093521118,0.001,1.328566312789917
41,1.5190860033035278,0.001,1.3027231693267822
42,1.551173210144043,0.001,1.2720259428024292
43,1.541088342666626,0.001,1.2850263118743896
44,1.5142501592636108,0.001,1.2456392049789429
45,1.5081583261489868,0.001,1.2570834159851074
46,1.5530563592910767,0.001,1.3275326490402222
47,1.4643980264663696,0.001,1.3444162607192993
48,1.460261583328247,0.001,1.2143875360488892
49,1.5122030973434448,0.001,1.2127381563186646
50,1.4897067546844482,0.001,1.4663444757461548
51,1.4882229566574097,0.001,1.263719081878662
52,1.4810377359390259,0.001,1.2315869331359863
53,1.4825576543807983,0.001,1.2389549016952515
54,1.4286062717437744,0.001,1.1836392879486084
55,1.4433705806732178,0.001,1.2974250316619873
56,1.5080980062484741,0.001,1.2366818189620972
57,1.4877889156341553,0.001,1.1762595176696777
58,1.4098701477050781,0.001,1.2555407285690308
59,1.3942954540252686,0.001,1.1992682218551636
60,1.3930790424346924,0.001,1.283799409866333
61,1.4165748357772827,0.001,1.16606605052948
62,1.4700497388839722,0.001,1.1827601194381714
63,1.4153876304626465,0.001,1.1105386018753052
64,1.3827126026153564,0.001,1.154549241065979
65,1.4038331508636475,0.001,1.1344069242477417
66,1.3870538473129272,0.001,1.0935239791870117
67,1.2964701652526855,0.001,1.0823026895523071
68,1.4087433815002441,0.001,1.1938250064849854
69,1.394592523574829,0.001,1.077918291091919
70,1.359582781791687,0.001,1.1286667585372925
71,1.3250051736831665,0.001,1.0898358821868896
72,1.372660517692566,0.001,1.2034192085266113
73,1.3680227994918823,0.001,1.1880279779434204
74,1.3526238203048706,0.001,1.1081112623214722
75,1.3527123928070068,0.001,1.0808483362197876
76,1.2757254838943481,0.001,1.0766592025756836
77,1.2834407091140747,0.001,1.0688101053237915
78,1.3132375478744507,0.001,1.0584057569503784
79,1.3684831857681274,0.001,1.1038440465927124
80,1.2862039804458618,0.001,1.157082200050354
81,1.3102389574050903,0.001,1.0780383348464966
82,1.3039863109588623,0.001,1.1498219966888428
83,1.2496882677078247,0.001,1.0720524787902832
84,1.2699718475341797,0.001,1.1269097328186035
85,1.2737643718719482,0.001,1.0762546062469482
86,1.2056443691253662,0.001,1.0134787559509277
87,1.4008384943008423,0.001,1.0399779081344604
88,1.2961766719818115,0.001,1.1087929010391235
89,1.2592804431915283,0.001,1.019856333732605
90,1.258642554283142,0.001,1.0179771184921265
91,1.2539268732070923,0.001,1.0114779472351074
92,1.292869210243225,0.001,1.0047122240066528
93,1.2378071546554565,0.001,0.9762222766876221
94,1.2939590215682983,0.001,1.039008617401123
95,1.2110217809677124,0.001,1.0194710493087769
96,1.2291734218597412,0.001,1.0306082963943481
97,1.2896736860275269,0.001,1.0552294254302979
98,1.290244221687317,0.001,1.0106258392333984
99,1.2729182243347168,0.001,0.9897407293319702
100,1.21514093875885,0.001,0.9922440052032471
101,1.2157124280929565,0.001,1.0029336214065552
102,1.2196507453918457,0.001,1.0530169010162354
103,1.3012475967407227,0.001,1.123803973197937
104,1.2321051359176636,0.001,0.9810807704925537
105,1.2039467096328735,0.001,1.0443637371063232
106,1.2189984321594238,0.001,1.0923511981964111
107,1.2118420600891113,0.001,0.9604242444038391
108,1.1264450550079346,0.001,1.034621000289917
109,1.2103824615478516,0.001,0.9630984663963318
110,1.221776008605957,0.001,1.0297757387161255
111,1.145823359489441,0.001,1.01441490650177
112,1.212010145187378,0.001,0.9834045767784119
113,1.2058767080307007,0.001,0.977325439453125
114,1.1701736450195312,0.001,0.9526450634002686
115,1.2296308279037476,0.001,1.009095311164856
116,1.153844952583313,0.001,0.9239165782928467
117,1.1165902614593506,0.001,0.9507432579994202
118,1.1087251901626587,0.001,1.0172357559204102
119,1.2592495679855347,0.001,0.9156408905982971
120,1.1489648818969727,0.001,0.9951724410057068
121,1.2255030870437622,0.001,1.0078492164611816
122,1.1281243562698364,0.001,0.8803402185440063
123,1.161044716835022,0.001,0.9181804060935974
124,1.1800167560577393,0.001,0.9692926406860352
125,1.1515108346939087,0.001,0.9243035912513733
126,1.1754568815231323,0.001,0.9918997287750244
127,1.1695098876953125,0.001,0.9866973757743835
128,1.220393180847168,0.001,1.0458712577819824
129,1.1946520805358887,0.001,0.9831712245941162
130,1.136294960975647,0.001,0.89902663230896
131,1.1660692691802979,0.001,0.905320405960083
132,1.1323258876800537,0.001,0.9747758507728577
133,1.1283689737319946,0.001,0.8756584525108337
134,1.0908732414245605,0.001,0.9870302081108093
135,1.1262279748916626,0.001,1.0049630403518677
136,1.1384425163269043,0.001,0.9568944573402405
137,1.0684351921081543,0.001,0.9626502394676208
138,1.1158106327056885,0.001,0.9251476526260376
139,1.197495937347412,0.001,0.9070290923118591
140,1.1880477666854858,0.001,0.9511262774467468
141,1.0944170951843262,0.001,0.9168348908424377
142,1.1128911972045898,0.001,0.9570754766464233
143,1.1329272985458374,0.001,0.9362470507621765
144,1.161698818206787,0.001,0.9389371871948242
145,1.0384647846221924,0.001,0.9460206627845764
146,1.0837206840515137,0.001,0.9306762218475342
147,1.09865403175354,0.001,0.9020399451255798
148,1.0861493349075317,0.001,0.9313835501670837
149,1.0807127952575684,0.001,0.9639707207679749
150,1.0996493101119995,0.001,0.9066718816757202
151,1.0932941436767578,0.001,0.9431960582733154
152,1.101247787475586,0.001,0.8970851898193359
153,1.0786142349243164,0.001,0.8681436777114868
154,1.0987434387207031,0.001,0.9093086123466492
155,1.0645606517791748,0.001,0.9322292804718018
156,1.1346818208694458,0.001,0.8915172815322876
157,1.0780365467071533,0.001,0.9084116220474243
158,1.0810660123825073,0.001,1.0379396677017212
159,1.091424822807312,0.001,0.8123665452003479
160,1.0560396909713745,0.001,0.8852826952934265
161,1.1034183502197266,0.001,0.9100983142852783
162,1.0934540033340454,0.001,0.8847875595092773
163,1.0973707437515259,0.001,0.9098463654518127
164,1.038426399230957,0.001,0.8554698824882507
165,1.0599726438522339,0.001,1.0702388286590576
166,1.100325584411621,0.001,0.9081226587295532
167,1.0717833042144775,0.001,0.891535758972168
168,1.078994631767273,0.001,1.00494384765625
169,1.1318352222442627,0.001,0.8689910769462585
170,1.1208349466323853,0.001,0.8824968934059143
171,1.04148530960083,0.001,0.8632800579071045
172,1.1191437244415283,0.001,0.8713178038597107
173,1.0828546285629272,0.001,0.8810190558433533
174,1.0198034048080444,0.001,0.8312979340553284
175,1.0547839403152466,0.001,0.8847544193267822
176,1.1217530965805054,0.001,0.9070159792900085
177,1.077040672302246,0.001,0.8805160522460938
178,1.0566860437393188,0.001,0.8732826113700867
179,1.066806435585022,0.001,0.8976972103118896
180,0.9664603471755981,0.0003,0.8209060430526733
181,0.9877303838729858,0.0003,0.8008502721786499
182,0.988405704498291,0.0003,0.8263862729072571
183,0.9800123572349548,0.0003,0.8179497122764587
184,0.9727144241333008,0.0003,0.8350448608398438
185,0.9617729187011719,0.0003,0.7989276647567749
186,0.8885078430175781,0.0003,0.8401800394058228
187,0.9733198285102844,0.0003,0.8110877871513367
188,0.9520396590232849,0.0003,0.8328176736831665
189,0.9553337097167969,0.0003,0.8833566308021545
190,0.9600465297698975,0.0003,0.8360534310340881
191,0.9850670695304871,0.0003,0.7765259146690369
192,0.9597799777984619,0.0003,0.8553340435028076
193,0.9595270156860352,0.0003,0.7902669310569763
194,0.9638740420341492,0.0003,0.8298625349998474
195,0.9108331203460693,0.0003,0.7971526980400085
196,0.9606571793556213,0.0003,0.8070176839828491
197,0.9752350449562073,0.0003,0.8202221393585205
198,0.924428403377533,0.0003,0.8240777850151062
199,0.9012278914451599,0.0003,0.79229736328125
200,0.9674234390258789,0.0003,0.8189901113510132
201,0.9283447265625,0.0003,0.8155326843261719
202,0.9375877976417542,0.0003,0.8342117071151733
203,0.949880063533783,0.0003,0.7867192625999451
204,0.9145991802215576,0.0003,0.8268480896949768
205,0.9665943384170532,0.0003,0.7748434543609619
206,0.9667748212814331,0.0003,0.7856476306915283
207,0.9192386269569397,0.0003,0.7835361361503601
208,1.0182887315750122,0.0003,0.8414609432220459
209,0.9596129655838013,0.0003,0.7948900461196899
210,0.8909922242164612,0.0003,0.8008222579956055
211,0.9559206366539001,0.0003,0.8062505722045898
212,0.9954681396484375,0.0003,0.787672758102417
213,0.957664430141449,0.0003,0.7966825366020203
214,0.9138524532318115,0.0003,0.8241554498672485
215,0.9496058821678162,0.0003,0.8624744415283203
216,0.9606437683105469,0.0003,0.7540847659111023
217,0.9344053268432617,0.0003,0.8014551401138306
218,0.9587963819503784,0.0003,0.8180269598960876
219,0.9115760922431946,0.0003,0.7877252101898193
220,0.9102249145507812,0.0003,0.8100321292877197
221,0.9584565758705139,0.0003,0.8474153876304626
222,0.8735931515693665,0.0003,0.7608314156532288
223,0.9701265692710876,0.0003,0.8620315194129944
224,0.9299048781394958,0.0003,0.8211495876312256
225,0.8954849243164062,0.0003,0.8009378910064697
226,0.9364168643951416,0.0003,0.7878543734550476
227,0.9748703837394714,0.0003,0.8049216866493225
228,0.9361686110496521,0.0003,0.82098788022995
229,0.9213482141494751,0.0003,0.8006559014320374
230,0.9442862868309021,0.0003,0.79986172914505
231,0.946455717086792,0.0003,0.7926529049873352
232,0.9539780616760254,0.0003,0.808842658996582
233,0.9748167395591736,0.0003,0.7873126864433289
234,0.9551228880882263,0.0003,0.8003416657447815
235,0.9257973432540894,0.0003,0.8169530630111694
236,0.9120541214942932,0.0003,0.8118326663970947
237,0.9103202223777771,9e-05,0.7604820728302002
238,0.9061721563339233,9e-05,0.7861236333847046
239,0.902044951915741,9e-05,0.7741631865501404
240,0.886073648929596,9e-05,0.7251205444335938
241,0.8658860921859741,9e-05,0.7896186709403992
242,0.8998631834983826,9e-05,0.811335027217865
243,0.8637849688529968,9e-05,0.7650427222251892
244,0.8959199786186218,9e-05,0.7766005992889404
245,0.9456218481063843,9e-05,0.7774556875228882
246,0.8802977800369263,9e-05,0.770657479763031
247,0.9301586747169495,9e-05,0.8052793145179749
248,0.9656676650047302,9e-05,0.788089394569397
249,0.8743834495544434,9e-05,0.7806239724159241
250,0.9041093587875366,9e-05,0.813676118850708
251,0.905168890953064,9e-05,0.7733221054077148
252,0.8747367858886719,9e-05,0.7665150165557861
253,0.9140064716339111,9e-05,0.7737674117088318
