epoch,loss,lr,val_loss
0,1.3498598337173462,0.001,1.2267963886260986
1,1.3877817392349243,0.001,1.142528772354126
2,1.344881296157837,0.001,1.145996332168579
3,1.199448585510254,0.001,1.1619638204574585
4,1.2621184587478638,0.001,1.130385398864746
5,1.2656289339065552,0.001,1.175594449043274
6,1.3280309438705444,0.001,1.1635053157806396
7,1.2917790412902832,0.001,1.191442608833313
8,1.5193341970443726,0.001,1.151477575302124
9,1.3216066360473633,0.001,1.1619718074798584
10,1.3399001359939575,0.001,1.2662416696548462
11,1.2642128467559814,0.001,1.1658735275268555
12,1.2681306600570679,0.001,1.2038702964782715
13,1.2598243951797485,0.001,1.1415417194366455
14,1.3530741930007935,0.001,1.1107823848724365
15,1.2945550680160522,0.001,1.102460265159607
16,1.448050856590271,0.001,1.110839605331421
17,1.3621057271957397,0.001,1.20344877243042
18,1.3376522064208984,0.001,1.3176915645599365
19,1.3856738805770874,0.001,1.2657119035720825
20,1.3769983053207397,0.001,1.128231167793274
21,1.266310453414917,0.001,1.1024410724639893
22,1.1961660385131836,0.001,1.1425291299819946
23,1.297825813293457,0.001,1.1121478080749512
24,1.2570399045944214,0.001,1.1708178520202637
25,1.3071547746658325,0.001,1.2277066707611084
26,1.3224776983261108,0.00020000001,1.1464482545852661
27,1.2362878322601318,0.00020000001,1.0605252981185913
28,1.1643967628479004,0.00020000001,1.1224822998046875
29,1.2801746129989624,0.00020000001,1.074157476425171
30,1.2445532083511353,0.00020000001,1.0643937587738037
31,1.1927547454833984,0.00020000001,1.0841424465179443
32,1.143760323524475,0.00020000001,1.032576560974121
33,1.2658231258392334,0.00020000001,1.058579444885254
34,1.1829439401626587,0.00020000001,1.070385217666626
35,1.2811172008514404,0.00020000001,1.0541452169418335
36,1.175489902496338,0.00020000001,1.0622191429138184
37,1.1477991342544556,0.00020000001,1.0407334566116333
38,1.2873170375823975,0.00020000001,1.0524626970291138
39,1.2037416696548462,0.00020000001,1.0282691717147827
40,1.2171748876571655,0.00020000001,1.043475866317749
41,1.1540656089782715,0.00020000001,1.0524388551712036
42,1.2577658891677856,0.00020000001,1.092714786529541
43,1.182002305984497,0.00020000001,1.1066416501998901
44,1.155699372291565,0.00020000001,1.0532633066177368
45,1.2802973985671997,0.00020000001,1.0457732677459717
46,1.183402419090271,0.00020000001,1.0228140354156494
47,1.07712721824646,0.00020000001,1.0500562191009521
48,1.1853243112564087,0.00020000001,1.0675766468048096
49,1.1773145198822021,0.00020000001,1.1047223806381226
50,1.1749181747436523,0.00020000001,1.059938669204712
51,1.201306700706482,0.00020000001,1.0543720722198486
52,1.2300310134887695,0.00020000001,1.0402289628982544
53,1.158888578414917,0.00020000001,1.0198713541030884
54,1.1918039321899414,0.00020000001,1.071995735168457
55,1.1132532358169556,0.00020000001,1.0396583080291748
56,1.1988790035247803,0.00020000001,1.0730531215667725
57,1.1665587425231934,0.00020000001,1.0498666763305664
58,1.109102487564087,0.00020000001,1.058462142944336
59,1.1143087148666382,0.00020000001,1.0627349615097046
60,1.1376469135284424,0.00020000001,1.0555238723754883
61,1.1555830240249634,0.00020000001,1.008022427558899
62,1.1404058933258057,0.00020000001,1.016021966934204
63,1.2147682905197144,0.00020000001,1.0387529134750366
64,1.2098383903503418,0.00020000001,1.031629204750061
65,1.1058597564697266,0.00020000001,1.0606962442398071
66,1.2166827917099,0.00020000001,1.0625381469726562
67,1.1870007514953613,0.00020000001,1.0410676002502441
68,1.1361042261123657,0.00020000001,1.0423574447631836
69,1.2404990196228027,0.00020000001,1.0408027172088623
70,1.1096278429031372,0.00020000001,1.0148512125015259
71,1.1041537523269653,0.00020000001,1.0210317373275757
72,1.055539608001709,4.0000003e-05,1.0283823013305664
73,1.2224318981170654,4.0000003e-05,1.0041590929031372
74,1.1023248434066772,4.0000003e-05,1.0141080617904663
75,1.115517258644104,4.0000003e-05,1.0178771018981934
76,1.1323068141937256,4.0000003e-05,1.0017297267913818
77,1.1393373012542725,4.0000003e-05,0.996657133102417
78,1.2488170862197876,4.0000003e-05,1.0066747665405273
79,1.1967904567718506,4.0000003e-05,1.0118392705917358
80,1.1957147121429443,4.0000003e-05,1.0142549276351929
81,1.1878645420074463,4.0000003e-05,1.015057921409607
82,1.1287285089492798,4.0000003e-05,1.0410411357879639
83,1.1013904809951782,4.0000003e-05,1.0190224647521973
84,1.1215044260025024,4.0000003e-05,1.0270885229110718
85,1.167544960975647,4.0000003e-05,1.0217803716659546
86,1.1093343496322632,4.0000003e-05,1.0217519998550415
87,1.1728484630584717,4.0000003e-05,1.0233180522918701
88,1.169255256652832,8.000001e-06,1.00980806350708
89,1.1549713611602783,8.000001e-06,1.0086537599563599
90,1.246953010559082,8.000001e-06,1.0063459873199463
91,1.1594994068145752,8.000001e-06,1.010072112083435
92,1.2021924257278442,8.000001e-06,1.0079798698425293
93,1.2393563985824585,8.000001e-06,0.9972279071807861
94,1.1489109992980957,8.000001e-06,1.0158236026763916
95,1.1648565530776978,8.000001e-06,1.020052433013916
96,1.1091852188110352,8.000001e-06,1.0160937309265137
97,1.1934840679168701,8.000001e-06,1.0088566541671753
98,1.0864728689193726,1.6000001e-06,1.0121612548828125
99,1.1474571228027344,1.6000001e-06,1.0152058601379395
100,1.072446346282959,1.6000001e-06,1.0158241987228394
101,1.15639328956604,1.6000001e-06,1.0132637023925781
102,1.146024227142334,1.6000001e-06,1.009037971496582
103,1.119121789932251,1.6000001e-06,1.0247886180877686
104,1.2629739046096802,1.6000001e-06,1.0068620443344116
105,1.2630188465118408,1.6000001e-06,1.0168402194976807
106,1.2444719076156616,1.6000001e-06,1.0114105939865112
107,1.0919885635375977,1.6000001e-06,1.0118699073791504
108,1.0907564163208008,3.2000003e-07,1.0135178565979004
109,1.1740477085113525,3.2000003e-07,1.0186541080474854
110,1.1379046440124512,3.2000003e-07,1.005500316619873
111,1.09562087059021,3.2000003e-07,1.021864414215088
112,1.2510743141174316,3.2000003e-07,1.0121101140975952
113,1.1528518199920654,3.2000003e-07,1.0273011922836304
114,1.175602912902832,3.2000003e-07,1.0165411233901978
115,1.1313066482543945,3.2000003e-07,1.0133811235427856
116,1.109933614730835,3.2000003e-07,1.0107296705245972
117,1.17401123046875,3.2000003e-07,1.0104827880859375
118,1.2078520059585571,6.4000005e-08,1.0125505924224854
119,1.0599638223648071,6.4000005e-08,1.0127122402191162
120,1.2011903524398804,6.4000005e-08,1.014227271080017
121,1.0895041227340698,6.4000005e-08,1.0135952234268188
122,1.0987013578414917,6.4000005e-08,1.0139418840408325
123,1.0788418054580688,6.4000005e-08,1.0023759603500366
124,1.1007192134857178,6.4000005e-08,1.014843463897705
125,1.1625295877456665,6.4000005e-08,1.01096773147583
126,1.175187587738037,6.4000005e-08,0.9888173341751099
127,1.1327191591262817,6.4000005e-08,1.0120840072631836
128,1.1861625909805298,6.4000005e-08,1.0233888626098633
129,1.182934045791626,6.4000005e-08,1.0129895210266113
130,1.1635932922363281,6.4000005e-08,1.0161049365997314
131,1.213120698928833,6.4000005e-08,1.0111721754074097
132,1.1169092655181885,6.4000005e-08,1.0202754735946655
133,1.220359206199646,6.4000005e-08,1.0180621147155762
134,1.182729959487915,6.4000005e-08,1.0211724042892456
