 8, 11, 16, 21, 
 10, 14, 21, 27, 
 11, 11, 22, 21, 
 13, 14, 27, 27, 
 16, 11, 26, 21, 
 17, 14, 33, 27, 
 22, 11, 26, 21, 
 22, 14, 35, 27, 
 29, 11, 26, 21, 
 29, 14, 35, 27, 
 35, 11, 26, 21, 
 35, 14, 35, 27, 
 42, 11, 26, 21, 
 42, 14, 35, 27, 
 48, 11, 26, 21, 
 48, 14, 35, 27, 
 54, 11, 26, 21, 
 54, 14, 35, 27, 
 61, 11, 26, 21, 
 61, 14, 35, 27, 
 67, 11, 26, 21, 
 67, 14, 35, 27, 
 74, 11, 26, 21, 
 74, 14, 35, 27, 
 80, 11, 26, 21, 
 80, 14, 35, 27, 
 86, 11, 26, 21, 
 86, 14, 35, 27, 
 93, 11, 26, 21, 
 93, 14, 35, 27, 
 99, 11, 26, 21, 
 99, 14, 35, 27, 
 106, 11, 26, 21, 
 106, 14, 35, 27, 
 112, 11, 26, 21, 
 111, 14, 33, 27, 
 117, 11, 22, 21, 
 115, 14, 27, 27, 
 120, 11, 16, 21, 
 118, 14, 21, 27, 
 8, 15, 16, 30, 
 10, 18, 21, 36, 
 11, 15, 22, 30, 
 13, 18, 27, 36, 
 16, 15, 26, 30, 
 17, 18, 33, 36, 
 22, 15, 26, 30, 
 22, 18, 35, 36, 
 29, 15, 26, 30, 
 29, 18, 35, 36, 
 35, 15, 26, 30, 
 35, 18, 35, 36, 
 42, 15, 26, 30, 
 42, 18, 35, 36, 
 48, 15, 26, 30, 
 48, 18, 35, 36, 
 54, 15, 26, 30, 
 54, 18, 35, 36, 
 61, 15, 26, 30, 
 61, 18, 35, 36, 
 67, 15, 26, 30, 
 67, 18, 35, 36, 
 74, 15, 26, 30, 
 74, 18, 35, 36, 
 80, 15, 26, 30, 
 80, 18, 35, 36, 
 86, 15, 26, 30, 
 86, 18, 35, 36, 
 93, 15, 26, 30, 
 93, 18, 35, 36, 
 99, 15, 26, 30, 
 99, 18, 35, 36, 
 106, 15, 26, 30, 
 106, 18, 35, 36, 
 112, 15, 26, 30, 
 111, 18, 33, 36, 
 117, 15, 22, 30, 
 115, 18, 27, 36, 
